                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5183,                      0,                      0,                 3.9723,             0.00023704,             0.00023704,             0.00023704
                      2,                0.63208,                      0,                      0,                 3.9786,             0.00045366,             0.00045366,             0.00045366
                      3,                0.28716,                      0,                      0,                   3.98,             0.00064886,             0.00064886,             0.00064886
                      4,                0.21728,                      0,                      0,                 3.9798,             0.00061761,             0.00061761,             0.00061761
                      5,                0.15846,                      0,                      0,                 3.9803,             0.00058548,             0.00058548,             0.00058548
                      6,                0.15556,                      0,                      0,                 3.9805,             0.00055335,             0.00055335,             0.00055335
                      7,                0.11683,                      0,                      0,                 3.9815,             0.00052122,             0.00052122,             0.00052122
                      8,                0.10757,                      0,                      0,                 3.9806,             0.00048909,             0.00048909,             0.00048909
                      9,                0.10241,                      0,                      0,                  3.982,             0.00045696,             0.00045696,             0.00045696
                     10,                0.09241,                      0,                      0,                 3.9826,             0.00042483,             0.00042483,             0.00042483
                     11,                0.09091,                      0,                      0,                 3.9815,              0.0003927,              0.0003927,              0.0003927
                     12,                0.08013,                      0,                      0,                 3.9809,             0.00036057,             0.00036057,             0.00036057
                     13,                0.07728,                      0,                      0,                 3.9807,             0.00032844,             0.00032844,             0.00032844
                     14,                0.07654,                      0,                      0,                 3.9818,             0.00029631,             0.00029631,             0.00029631
                     15,                0.06693,                      0,                      0,                 3.9825,             0.00026418,             0.00026418,             0.00026418
                     16,                0.06665,                      0,                      0,                 3.9819,             0.00023205,             0.00023205,             0.00023205
                     17,                0.06029,                      0,                      0,                 3.9816,             0.00019992,             0.00019992,             0.00019992
                     18,                 0.0583,                      0,                      0,                 3.9809,             0.00016779,             0.00016779,             0.00016779
                     19,                0.05281,                      0,                      0,                 3.9819,             0.00013566,             0.00013566,             0.00013566
                     20,                0.04745,                      0,                      0,                 3.9817,             0.00010353,             0.00010353,             0.00010353
                     21,                0.05286,                      0,                      0,                 3.9816,               7.14e-05,               7.14e-05,               7.14e-05
                     22,                0.04961,                      0,                      0,                 3.9815,              3.927e-05,              3.927e-05,              3.927e-05
